county,lat,lng
Tippecanoe,40.3886,-86.8941
Cass,46.933,-97.248
DeSoto,34.8753,-89.9912
Newport News,37.1049,-76.5181
Boone,38.9906,-92.3097
Washington,37.2804,-113.5048
Johnson,32.379,-97.3665
Kent,39.086,-75.5686
Medina,41.1176,-81.8997
Ulster,41.8881,-74.2585
Shasta,40.7637,-122.0405
Peoria,40.788,-89.76
Bay,30.2652,-85.6203
Vanderburgh,38.0249,-87.5859
Kanawha,38.3365,-81.5281
Imperial,33.0395,-115.3654
Licking,40.0916,-82.4831
Shawnee,39.0415,-95.7565
Muskegon,43.2912,-86.152
Hendricks,39.7695,-86.51
Lower Connecticut River Valley,41.45,-72.5073
Lee,32.6011,-85.3555
Scott,41.6371,-90.6232
Guadalupe,29.5831,-97.9486
Kootenai,47.6744,-116.7018
Porter,41.4603,-87.0672
Carroll,39.5629,-77.0225
Alamance,36.0437,-79.3995
McLean,40.4909,-88.8473
Winnebago,44.0689,-88.6447
Pitt,35.5933,-77.3745
Kent,41.6722,-71.5932
Paulding,33.9206,-84.8673
Aiken,33.5443,-81.6347
Davidson,35.7933,-80.2128
Midland,31.8691,-102.0316
Kenton,38.9334,-84.5333
Kenosha,42.5769,-88.0424
Chittenden,44.4611,-73.0813
Pueblo,38.1735,-104.5127
Monroe,41.0581,-75.3395
Wyandotte,39.1146,-94.7646
Beaver,40.6823,-80.3493
Greene,39.6915,-83.8899
Charles,38.5073,-76.9922
Yellowstone,45.9373,-108.2744
Comal,29.8082,-98.2783
Maui,20.8596,-156.565
Houston,32.459,-83.6662
Rock,42.6712,-89.0716
Olmsted,44.0038,-92.4018
Ector,31.8692,-102.5429
Dorchester,33.0793,-80.4067
Johnson,39.49,-86.1016
Portage,41.1677,-81.1974
Catawba,35.662,-81.2151
Indian River,27.6943,-80.6064
Rensselaer,42.7111,-73.5097
Jackson,42.2485,-84.4234
St. Clair,42.9341,-82.6806
Ouachita,32.4784,-92.1549
Schenectady,42.8181,-74.0586
Martin,27.0775,-80.4315
Fairfield,39.7516,-82.6306
Sullivan,36.5129,-82.3042
Centre,40.9189,-77.8199
Stearns,45.5521,-94.613
Stafford,38.4207,-77.458
Alexandria,38.8185,-77.0861
Madera,37.218,-119.7627
Rankin,32.2641,-89.9458
Columbia,33.5441,-82.2641
Canadian,35.5424,-97.9824
Bibb,32.8065,-83.6974
Mesa,39.0183,-108.4664
Franklin,39.9274,-77.7213
Citrus,28.8489,-82.4794
Monroe,41.9291,-83.5394
Washington,39.6036,-77.814
Santa Fe,35.5069,-105.9763
Berrien,41.9547,-86.4123
Hampshire,42.3402,-72.6638
Merrimack,43.2975,-71.6802
Cumberland,39.3739,-75.1107
Johnson,41.6715,-91.5881
Penobscot,45.4006,-68.6495
Kings,36.0752,-119.8155
Scott,44.6485,-93.5359
Parker,32.7776,-97.8051
Kaufman,32.5993,-96.2878
Sandoval,35.6886,-106.8659
Wilson,36.1547,-86.2973
Coweta,33.3534,-84.7634
Rowan,35.6394,-80.5247
Orange,36.0611,-79.1207
Sussex,41.1393,-74.6909
Douglas,33.7018,-84.768
Coconino,35.8387,-111.7705
Randolph,35.7103,-79.806
Rock Island,41.4673,-90.5674
Jackson,30.5425,-88.6358
Livingston,30.4401,-90.7279
Lebanon,40.3672,-76.4577
Schuylkill,40.7058,-76.216
Taylor,32.3015,-99.8901
Wright,45.1739,-93.9631
Randall,34.9659,-101.897
Spotsylvania,38.1851,-77.6561
Monroe,39.1609,-86.5231
Brunswick,34.0715,-78.2383
Marathon,44.8983,-89.7591
Napa,38.507,-122.3306
Hampton,37.0554,-76.3632
Florence,34.0245,-79.703
Grayson,33.6268,-96.6777
Washington,43.3685,-88.2307
Boone,38.9699,-84.7278
Humboldt,40.6993,-123.8756
Blount,35.6872,-83.9255
Clark,39.9167,-83.7844
Warren,36.9936,-86.4238
Harnett,35.3688,-78.8693
Cache,41.7225,-111.7436
Calhoun,42.2465,-85.0056
Tangipahoa,30.6266,-90.4057
Washington,36.2933,-82.4974
Cambria,40.4952,-78.7135
Kendall,41.5906,-88.4288
Sumter,28.7048,-82.081
Wood,41.3617,-83.623
Tazewell,40.5075,-89.5134
Pickens,34.8873,-82.7253
Black Hawk,42.4701,-92.3088
Strafford,43.2969,-71.0289
Madison,40.1616,-85.7194
Washington,41.4697,-71.6226
Wichita,33.9879,-98.7035
Rapides,31.1986,-92.5332
Skagit,48.4795,-121.7291
Hunterdon,40.5673,-74.9122
Bossier,32.6784,-93.6049
Clarke,33.9512,-83.3673
Berkshire,42.3707,-73.2063
Linn,44.4887,-122.5343
Fayette,39.9201,-79.6474
Sebastian,35.1989,-94.2743
Chautauqua,42.2281,-79.3663
Ascension,30.2036,-90.9113
Cochise,31.8796,-109.7512
Richland,40.7747,-82.5365
Faulkner,35.147,-92.332
Bonneville,43.3877,-111.6148
Gregg,32.4805,-94.817
Kennebec,44.4091,-69.7673
Saline,34.6466,-92.6766
Berkeley,39.4641,-78.0275
Morgan,34.4535,-86.8529
Jasper,37.2036,-94.3406
Blair,40.4811,-78.3484
San Juan,36.5085,-108.3206
Comanche,34.6621,-98.4717
Clark,38.4772,-85.7073
La Crosse,43.9066,-91.1152
